text,intent
I want to book a blood test,booking
Book a CBC test tomorrow,booking
Schedule a urine test,booking
I need a thyroid test next week,booking
Can I book a blood test for today,booking
I want to schedule a glucose test,booking
Book my lab test,booking
Arrange a blood checkup,booking
I need a test appointment,booking
Can you book a test for me,booking
Is my report ready,report_status
Check my test result,report_status
When will my report be available,report_status
Can you tell my report status,report_status
Is the lab report completed,report_status
Has my test report come,report_status
Give me my result status,report_status
Report status please,report_status
Can I get my report now,report_status
Is my result out,report_status
What tests are available,test_query
Do you offer diabetes test,test_query
List all available tests,test_query
What is the cost of blood test,test_query
Do you have CBC test,test_query
Tell me test prices,test_query
What lab tests do you provide,test_query
Available health checkups,test_query
Show test packages,test_query
Do you provide thyroid test,test_query
I want to reschedule my test,reschedule
Change my appointment,reschedule
Move my booking to tomorrow,reschedule
Reschedule my test to evening,reschedule
Can I change my test time,reschedule
Shift my appointment,reschedule
Reschedule my lab test,reschedule
Change my booking date,reschedule
Update my appointment time,reschedule
Modify my test schedule,reschedule
Cancel my booking,cancel
I want to cancel my test,cancel
Stop my appointment,cancel
Cancel my lab test,cancel
Please cancel my booking,cancel
I don't need the test now,cancel
Cancel my appointment,cancel
Drop my test booking,cancel
Abort my test,cancel
Remove my appointment,cancel
Reserve a slot for an HbA1c screening on Monday,booking
I need to set up a Vitamin D checkup for my father,booking
Is there a home collection slot for tomorrow morning,booking
I'd like to book a full body checkup package,booking
Can someone come home to take my blood sample,booking
Book a fasting sugar test for 8 AM Friday,booking
Need an urgent PCR test appointment today,booking
Schedule a Liver Function Test at the Thrissur branch,booking
I want to book an iron study and ferritin test,booking
Can I reserve a time for a lipid profile this weekend,booking
Need to visit for a kidney function test tomorrow,booking
Register me for a comprehensive health screen,booking
Book a pregnancy blood test for tomorrow morning,booking
I want to schedule a CRP and ESR test,booking
Arrange a nurse visit for a blood draw at my office,booking
Can I book a double appointment for me and my wife,booking
Need a slot for a routine CBC and urine culture,booking
Schedule an Electrolyte panel for Wednesday,booking
I want to book a Dengue NS1 test as soon as possible,booking
Book a calcium and magnesium test for Saturday,booking
